Topic,Count,Name,Representation,Representative_Docs
9,155,9____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['其中2人在抢险救灾中因公殉职 据北京日报报道记者从市防汛抗旱指挥部获悉受台风杜苏芮影响北京自7月29日开始连续强降雨西部西南部南部迎来特大暴雨截至8月1日6时全市平均降雨量2579毫米城区平均2351毫米门头沟区平均4702毫米房山区平均4146毫米石景山区平均3332毫米昌平区平均2958毫米丰台区平均285毫米大兴区平均2792毫米海淀区平均2422毫米最大小时雨强出现在丰台千灵山31日1011时1118毫米小时有2站累计雨量超700毫米分别为昌平王家园水库7363毫米门头沟高山玫瑰园7224毫米经统计截至8月1日6时此轮强降雨已经造成11人遇难其中2人在抢险救灾中因公殉职另有27人失联其中4人因抢险救灾失联 因灾遇难的11人包括门头沟区4人昌平区4人房山区2人海淀区1人其中北京市消防救援总队海淀消防支队1名消防员在救援工作中不幸遇难门头沟区1名乡镇干部在巡查过程中不幸遇难其他遇难人员身份还在进一步核实中 失联的27人包括门头沟13人昌平区10人房山区4人其中蓝天救援队在房山区佛子庄乡白草洼村开展抢险救灾行动时有4人落水失联 截至目前此轮灾情累计造成13个区44673人受灾全市共转移受威胁群众127万人灾害造成的经济损失正在统计中 在此我们对不幸遇难的人员表示深切哀悼对遇难者家属和受灾群众表示诚挚慰问当前本市大部分地区仍处于防汛红色预警中持续降雨引发洪水山洪地质灾害等次生风险增大请广大市民密切关注预警信息和最新天气预报做好防护 收起d', '7月31日河南郑州救援队连夜携带救援装备奔赴北京支援洪水受灾区大河网L新浪河南的微博视频', '北京市防汛橙色二级预警响应措施1倡导企事业单位采取弹性工作方式或错峰上下班2请广大市民减少外出注意出行安全远离风险及时关注最新天气预报临近预警响应信息3学校视情停学停止线下培训和野外教学活动暂停大型体育文化娱乐活动和有组织的户外体育类活动4在建工地停工地下经营性场所停业5停止涉山涉水户外旅游关闭山区景区及非山区景区中的普通涉山涉水类景区6重点关注山区险村险户滞留游客城区危旧房屋低洼院落及时转移安置受威胁群众7重点危险区域和主要抢险救援道路实施临时交通管制措施8关闭山洪沟道远离河道等涉险区域提防流域洪水滑坡泥石流灾害发生 收起d']"
10,150,10____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['河北涿州目前处于重大气象灾害暴雨级应急响应境内多支河流近日发生超警以上洪水河水暴涨道路被淹总台记者在涿州市刁窝镇现场看到白沟河水位正缓慢上涨水面已逼近桥面刁窝镇居民现已转移至集中安置点持续关注 via央视新闻 L央视新闻的微博视频 收起d', '晚饭后雨停了虽然天气预报一直是暴雨预警但见证过郑州的那次洪水突袭我觉得这场雨不过普普通通我穿上鞋子打算下楼扔掉垃圾顺便散会儿步休假这段时间晚饭后散步几乎成了我生活的一部分以小区为中心从南到北由西至东这四通八达的街道我差不多也走了个遍晚间的北京少有炎热路上多了以家庭为单位的行人我不晓得他们在聊些什么但轻松的脚步里透露着一股欢快的气息马路两旁的坐椅上时常会有一些休息的老人对比他们的恬淡背着包刚刚下班往家走的人则显得步履匆匆不知道面对这种反差双方都会作何感想但应该会有人和我一样好想退休啊离别的眼泪我还不懂回忆淡淡的就像风我和两年前一起来北京的哥们儿发消息浅聊了几句得知他产生了想回去的想法理由很简单年纪到了该回去了于此我陷入了思考我们同岁那我呢细想这两年北京的生活除了糟心的工作其他的一切貌似都还好不过我也会想这所谓的还好是不是我到哪座城市都会有此感觉毕竟十八岁以后就很少会再说特别喜欢哪一座城市了我会在某个醒来的清晨打开小红书去搜索如何改变一成不变的生活我会在很多难以入睡的夜晚听B站的博主探讨心态如何平静上一秒要不去读个研吧毕竟年龄还小我还有梦想下一秒现在读完研都多大了如今的市场真的还有必要嘛尽管总是把乐观向上加油生活这些看似乐观的字眼天天挂在嘴边然而我越发意思到自己对很多东西逐渐失去热爱比如我曾最热爱的生活总想去改变但又无法改变和毕业后很久不见的朋友们电话聊天得出的结论是大学毕业以后可能就没什么快乐了我打趣看来要用那四年的快乐来治愈接下来的一生我要去看得最远的地方和你手舞足蹈聊梦想散步走到一半淅淅沥沥的小雨再次打击地面所幸这次我带了伞加快一下步伐往回走就是了 d', '我已回到北京城区从房山回来的路上发现有救援队的几艘冲锋舟驻守在琉璃河一带希望他们尽快去抢救涿州及涿州以南地区下游才是重灾区']"
11,146,11_doge___,"['doge', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['8月1日河北涿州航拍涿州拒马河河道行洪和城市内涝受上游洪水过境影响涿州市河道行洪和城市内涝风险加剧防汛形势十分严峻 L广西都市频道的微博视频', '看看河北看看河北看看河北看看河北', 'doge我看错了嘛 静海 笑cry']"
12,146,12____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['为了保卫北京河北付出很多永定河洪水 L村长王二小的微博视频', '天黑了不敢睡孩子发着烧又怕夜里来洪水难过', '无主物遗失物如何处理 L民法典通解通读的微博视频']"
13,144,13_vial_lab__,"['vial', 'lab', '', '', '', '', '', '', '', '', '', '', '', '', '']","['7月30日下午受暴雨影响河北邯郸武安一名男子在驾车过桥时车子被上涨的河水冲入河道男子被困于河道正中央距离岸边约50米一度随车在水中翻滚情况危急现场指挥员协调起吊车等工程车辆协助救援起吊车多次更换作业面并进行救援尝试同时消防救援人员呼喊并指导男子爬上车顶经过1个多小时的救援救援人员成功将被困男子营救上岸 L央视网快看的微博视频 收起d', '转发让更多人看到北京门头沟房山等地救援电话 门头沟区蓝天救援队 联系方式刘 桐 13901250472潘 龙 13683352725戴冬梅 13693142950房山区蓝天救援队 联系方式萍 萍 1381092526715011230188公共安全潜水组支援房山 联系方式杨 光 13120032832何 峥 13641242842小 曦 13911819008崔 楠 13810339889宣教组支援房山 联系方式张 进 13910339960预计今天傍晚到夜间北京有大雨到暴雨局地大暴雨明天有小到中雨8月23日仍有雷阵雨天气因为灾情相对严重北京蓝天救援队 400 600 官方电话一直处于忙碌中所以显示无法接通请大家不要集中拨打或者长时间咨询有紧急求助请大家直接拨打各区电话北京蓝天救援队 转自 收起d', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d']"
14,137,14____,"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['直击北京门头沟城区洪水退后抛锚车辆横七竖八 道路泥泞垃圾遍地这次损失肯定数以亿计如果雨带北移趋势形成那北方城市的防洪标准可能需要大幅提升了否则难以抵挡这些极端天气 LHW前HR的微博视频', '扩散周知北京市防汛办提醒市民远离河道确保安全华北强降雨仍在持续今天北京市气象台发布分区域暴雨红色预警信号 总台记者拍摄的画面显示北京市防汛办提醒暴雨天气请远离河道确保自身安全 L央视新闻的微博视频 收起d', '水利部针对六省市启动洪水防御三级应急响应央广网 L中国反邪教的微博视频']"
15,137,15_lic___,"['lic', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['已致9人死亡 记者从河北省防汛抗旱指挥部获悉受冷暖空气和台风杜苏芮共同影响自7月27日河北省大部出现强降雨过程全省平均降雨量1374毫米其中降雨较大市保定市350毫米定州市3197毫米石家庄市2892毫米雄安新区2613毫米邯郸市2184毫米廊坊市2242毫米邢台市192毫米降雨较大县保定市竞秀区492毫米保定市莲池区4843毫米保定市满城区4773毫米石家庄市井陉县4518毫米石家庄市赞皇县4407毫米最大降雨点临城县临城赵庄梁家庄10081毫米漳河子牙河大清河永定河北三河水系3日来水量4亿多立方米特别是拒马河永定河北运河承接大量北京来水主要河道共出现142站次涨水过程经统计截至8月1日12时此次强降雨造成河北省87个县区540703人受灾其中因灾死亡9人保定市4人邢台市5人因灾失踪6人保定市2人邢台市4人灾害造成的经济损失正在统计中为有效应对此次台风暴雨洪水截至目前河北省陆续启用7处蓄滞洪区分别为宁晋泊大陆泽小清河分洪区兰沟洼东淀献县泛区永定河泛区完成转移群众8474万人 收起d', '河北涿州一小区多居民被困地库塌方多地公羊救援队集结增援 据新京报 消息受台风影响京津冀遭遇强降雨8月1日上午网上一组视频求救画面显示河北涿州水尚仁佳小区地库出现塌方大量洪水灌入附近居民楼受到威胁新京报记者从多位居民处了解到小区积水较深居民楼一层已被淹目前已有600多人被困急需救援浙江公羊救援队队长表示多支救援力量已集结驰援涿州 小区居民张女士告诉记者7月31日17时许她发现小区地库出现塌方据她介绍该小区紧邻北拒马河位于泄洪口距离河道不足100米 另一居民表示塌方处位于小区三号楼东边水井房附近目前三号楼看起来没有明显倾斜但仍需要救援拒马河的水不断地裹着泥沙涌进小区水的流速很快小区地库也全都灌满水了我看到业主群里有人说有十几位居民被困在物业公司的二层小楼情况紧急 该居民还说据业主群统计的信息小区共有600多人被困昨天7月31日小区开始停水停电今早8月1日早燃气也断了食品水非常缺乏很多人求助说孩子没饭吃还有人手机也快没电了 8月1日涿州市应急管理局一名工作人员就此事回应新京报记者称7月31日晚上已经接到该小区相关求救信息目前涿州整个地区灾情都比较严重政府已经联系了外地救援队赶来支援 记者从浙江公羊救援队了解到8月1日上午涿州市应急管理局已向浙江公羊救援队发送紧急支援请求北京公羊救援队将于8月1日13时许抵达涿州浙江公羊救援队将于8月1日23时许抵达 另外公羊救援队航空特勤力量已经全部进入战斗值勤状态公羊救援队直升机计划8月1日下午抵达河北保定备降点但目前灾区云层很厚目视无法飞行陆航直升机在军方雷达的帮助下采用低空贴地的方法突进 我们在等待气象条件进一步变好四川陕西公羊救援队已集结完毕等待出发指令浙江公羊救援队队长何军说L佳ic的微博视频 收起d', '近日河北小狗被卷入洪水中努力自救好心人前来救援狗狗乖乖配合源今日国土 L石家庄全攻略的微博视频']"
16,116,16_lbee_lab__,"['lbee', 'lab', '', '', '', '', '', '', '', '', '', '', '', '', '']","['今天受永定河分洪影响北京卢沟桥西侧的小清河桥局部垮塌有车辆被冲走记者在现场了解到目前桥上滞留车辆中的人员已疏散完毕桥两端已进行封锁河道泄洪作业还在进行桥体垮塌原因正在调查中是否造成人员伤亡也正在排查持续关注央视 O网页链接 收起d', '你好 请问地铁停运了吗', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d']"
17,112,17_lvnews_lab__,"['lvnews', 'lab', '', '', '', '', '', '', '', '', '', '', '', '', '']","['减弱的台风杜苏芮给多地带来强降雨不少车辆快递包裹被洪水冲走哪类保险可以赔偿若车辆被冲跑后找不到了车主该如何处理能否按照车辆的实际市场价值赔 L北京商报的微博视频', '刷抖音野三坡百里峡很多人在寻人', '7月30日河北保定一场暴雨致湖水上涨漫过路面湖里的鱼也涌上街头不少市民看到后纷纷赶来抓鱼对此剧院工作人员表示这鱼是剧院前面景观湖里的目前剧院也有部分进水今明两晚的表演已取消 LAB视频的微博视频 收起d']"
18,102,18_lic_vial__,"['lic', 'vial', '', '', '', '', '', '', '', '', '', '', '', '', '']","['送别英雄7月31日北京市海淀区北安河消防救援人员在赶赴受灾现场的路上突遇一名被困山洪急流中的群众招手求救情况十分危急带队指挥员冯振命令立即停车组织施救带领队员冒着洪水激流向被困群众靠近由于洪水突然暴涨一名队员被急流冲倒冯振不顾个人安危竭尽全力将战友推至安全区域被困群众及队员安全脱险冯振因连续作战体力耗尽被洪水冲走随后救援人员在下游约1公里处找到冯振立即采取心肺复苏进行急救并第一时间送至医院救治经过5个多小时全力救治18时22分冯振同志因抢救无效不幸壮烈牺牲 收起d', '桥体断裂严重8月1日9时许 因暴雨涨水河北省保定市满城区白堡大桥被洪水冲垮有多段视频显示白堡大桥整座桥体四分局五裂横躺在河中央遭到猛烈冲击河岸两边被隔断白堡村村民张先生称桥体中间部分全部塌下去了洪水从桥上流过沿河的比较近的低洼地区的人都已经撤离了白堡村另一村民告诉记者因洪水太大桥体坍塌严重无法维修只能重建白龙乡政府工作人员表示已提前做好预警无人员伤亡 L百姓关注的微博视频 收起d', '河北涿州一小区多居民被困地库塌方多地公羊救援队集结增援 据 消息受台风影响京津冀遭遇强降雨8月1日上午网上一组视频求救画面显示河北涿州水尚仁佳小区地库出现塌方大量洪水灌入附近居民楼受到威胁新京报记者从多位居民处了解到小区积水较深居民楼一层已被淹目前已有600多人被困急需救援浙江公羊救援队队长表示多支救援力量已集结驰援涿州 小区居民张女士告诉记者7月31日17时许她发现小区地库出现塌方据她介绍该小区紧邻北拒马河位于泄洪口距离河道不足100米 另一居民表示塌方处位于小区三号楼东边水井房附近目前三号楼看起来没有明显倾斜但仍需要救援拒马河的水不断地裹着泥沙涌进小区水的流速很快小区地库也全都灌满水了我看到业主群里有人说有十几位居民被困在物业公司的二层小楼情况紧急 该居民还说据业主群统计的信息小区共有600多人被困昨天7月31日小区开始停水停电今早8月1日早燃气也断了食品水非常缺乏很多人求助说孩子没饭吃还有人手机也快没电了 8月1日涿州市应急管理局一名工作人员就此事回应新京报记者称7月31日晚上已经接到该小区相关求救信息目前涿州整个地区灾情都比较严重政府已经联系了外地救援队赶来支援 记者从浙江公羊救援队了解到8月1日上午涿州市应急管理局已向浙江公羊救援队发送紧急支援请求北京公羊救援队将于8月1日13时许抵达涿州浙江公羊救援队将于8月1日23时许抵达 另外公羊救援队航空特勤力量已经全部进入战斗值勤状态公羊救援队直升机计划8月1日下午抵达河北保定备降点但目前灾区云层很厚目视无法飞行陆航直升机在军方雷达的帮助下采用低空贴地的方法突进 我们在等待气象条件进一步变好四川陕西公羊救援队已集结完毕等待出发指令浙江公羊救援队队长何军说L佳ic的微博视频 收起d']"
